edgeID,startNode,endNode
FHALL00203_FSERV00503,FHALL00203,FSERV00503
FHALL00303_FELEV00Y03,FHALL00303,FELEV00Y03
FHALL00303_FELEV00Z03,FHALL00303,FELEV00Z03
FHALL00403_FSTAI00103,FHALL00403,FSTAI00103
FHALL00503_FRETL00103,FHALL00503,FRETL00103
FHALL00603_FSERV00603,FHALL00603,FSERV00603
FHALL00603_FRETL00203,FHALL00603,FRETL00203
FHALL00803_FREST00103,FHALL00803,FREST00103
FHALL01103_FDEPT00103,FHALL01103,FDEPT00103
FHALL01403_FDEPT00203,FHALL01403,FDEPT00203
FHALL01503_FDEPT00303,FHALL01503,FDEPT00303
FHALL01603_FDEPT00403,FHALL01603,FDEPT00403
FHALL01703_FDEPT00503,FHALL01703,FDEPT00503
FHALL02303_FDEPT00603,FHALL02303,FDEPT00603
FHALL01603_FREST00203,FHALL01603,FREST00203
FHALL01603_FREST00303,FHALL01603,FREST00303
FHALL01903_FELEV00X03,FHALL01903,FELEV00X03
FHALL01903_FSTAI00203,FHALL01903,FSTAI00203
FSTAI00101_FHALL00101,FSTAI00101,FHALL00101
FDEPT00201_FHALL00201,FDEPT00201,FHALL00201
FLABS00101_FHALL00301,FLABS00101,FHALL00301
FDEPT00101_FHALL00401,FDEPT00101,FHALL00401
FLABS00201_FHALL00501,FLABS00201,FHALL00501
FSERV00101_FHALL00601,FSERV00101,FHALL00601
FSERV00201_FHALL00701,FSERV00201,FHALL00701
FLABS00501_FHALL00801,FLABS00501,FHALL00801
FLABS00601_FHALL00901,FLABS00601,FHALL00901
FLABS00701_FHALL01001,FLABS00701,FHALL01001
FDEPT00301_FHALL01101,FDEPT00301,FHALL01101
FDEPT00401_FHALL01201,FDEPT00401,FHALL01201
FDEPT00501_FHALL01301,FDEPT00501,FHALL01301
FDEPT00601_FHALL01401,FDEPT00601,FHALL01401
FLABS00801_FHALL01501,FLABS00801,FHALL01501
FSERV00301_FHALL01601,FSERV00301,FHALL01601
FREST00101_FHALL01701,FREST00101,FHALL01701
FREST00201_FHALL01801,FREST00201,FHALL01801
FSTAI00301_FHALL01901,FSTAI00301,FHALL01901
FDEPT00701_FHALL02001,FDEPT00701,FHALL02001
FREST00301_FHALL02101,FREST00301,FHALL02101
FELEV00X01_FHALL02201,FELEV00X01,FHALL02201
FELEV00Y01_FHALL02301,FELEV00Y01,FHALL02301
FLABS00401_FHALL02401,FLABS00401,FHALL02401
FLABS00301_FHALL02501,FLABS00301,FHALL02501
FRETL00101_FHALL02601,FRETL00101,FHALL02601
FEXIT00101_FHALL02701,FEXIT00101,FHALL02701
FINFO00101_FHALL02801,FINFO00101,FHALL02801
