nodeID,xcoord,ycoord,floor,building,nodeType,longName,Short Name,teamAssigned
DSTAI007F2,3855,565,F2,15 Francis,STAI,Staircase7 Floor2,DSTAI00702,F
DSTAI008F2,3535,645,F2,15 Francis,STAI,Staircase8 Floor2,DSTAI00802,F
ESTAI001F1,2190,910,F1,45 Francis,STAI,Staircase K1 Floor 1,ESTAI00101,F
ESTAI002F1,2275,830,F1,45 Francis,STAI,Staircase J1 Floor 1,ESTAI00201,F
ESTAI003F1,2790,1155,F1,45 Francis,STAI,Staircase H1 Floor 1,ESTAI00301,F
ESTAI004F1,2605,1340,F1,45 Francis,STAI,Staircase H2 Floor 1,ESTAI00401,F
FSTAI001F1,2026,892,F1,Tower,STAI,Lobby Shattuck Street Stairs,FSTAI00101,F
FSTAI002F1,1673,802,F1,Tower,STAI,Tower Stairway 1,FSTAI00201,F
FSTAI003F1,1947,1239,F1,Tower,STAI,Lobby Escalator,FSTAI00301,F
GSTAI005F1,1707,1992,F1,Shapiro,STAI,Stairway MapNode 5 Floor 1,GSTAI00501,F
GSTAI008L1,1720,2131,L1,Shapiro,STAI,Stairs MapNode 8 Floor L1,GSTAI008L1,F
GSTAI009F3,1685,2052,F3,Shapiro,STAI,Staircase Node 9 Floor 3,GSTAI00903,F
GSTAI013F1,1750,2014,F1,Shapiro,STAI,Staircase MapNode 13 Floor 1,GSTAI01301,F
GSTAI026F2,1686,1931,F2,Shapiro,STAI,Stairs Node 26 Floor 2,GSTAI02602,F
GSTAI028F2,1685,2041,F2,Shapiro,STAI,Stairs Node 28 Floor 2,GSTAI02802,F
HSTAI001F2,2060,880,F2,Tower,STAI,Stairwell 1,HSTAI00102,F
HSTAI001F3,1680,1275,F3,Tower,STAI,Stairwell 1,HSTAI00103,F
HSTAI002F2,1695,1165,F2,Tower,STAI,Stairwell 2 Tower,HSTAI00202,F
HSTAI003F2,1790,1230,F2,Tower,STAI,Escalator 1,HSTAI00302,F
